タイプ,ノーマル,ほのお,みず,くさ,でんき,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,
グルトン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パフュートン♂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パフュートン♀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タマンチュラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ワナイダー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マメバッタ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
エクスレッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハネッコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ポポッコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤヤコマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヒノヤコマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ファイアロー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パモ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パモット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パーモット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デルビル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヘルガー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤングース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デカグース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ホシガリス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヨクバリス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヒマナッツ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キマワリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コロボーシ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コロトック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミツハニー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ビークイン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ココガラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アオガラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アーマーガア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ラッキー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハピナス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルリリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マリル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マリルリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アメタマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アメモース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブイゼル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フローゼル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウパー(パルデア),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドオー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コダック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴルダック,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カムカメ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カジリガメ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ププリン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
プリン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
プクリン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ラルトス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キルリア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サーナイト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
エルレイド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スリープ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スリーパー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴースト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゲンガー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ワッカネズミ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イッカネズミ(3びきかぞく),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イッカネズミ(4ひきかぞく),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ピチュー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ピカチュウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ライチュウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パピモッチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バウッツェル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ナマケロ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤルキモノ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケッキング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アマカジ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アママイコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アマージョ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミニーブ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オリーニョ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オリーヴァ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウソハチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウソッキー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イワンコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルガルガン(まひる),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルガルガン(たそがれ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルガルガン(まよなか),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タンドン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
トロッゴン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
セキタンザン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ルクシオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レントラー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ムックル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ムクバード,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ムクホーク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オドリドリ(めらめらスタイル),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モココ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デンリュウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
チュリネ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドレディア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キノココ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キノガッサ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カジッチュ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アップリュー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タルップル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バネブー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブーピッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イキリンコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ムウマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ムウマージ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マクノシタ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハリテヤマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マケンカニ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケケンカニ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヤトウモリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴマゾウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドンファン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ダイオウドウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フカマル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ガバイト,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ガブリアス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コジオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ジオヅム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キョジオーン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キャモメ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ペリッパー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コイキング,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ギャラドス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サシカマス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カマスジョー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バスラオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴクリン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マルノーム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ニャース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ペルシアン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フワライド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フラベベ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フラージェス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ディグダ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ダグトリオ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コータス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドンメル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
バクーダ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドーミラー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドータクン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キバゴ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オノンド,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オノノクス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マンキー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オコリザル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コノヨザル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アサナン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
チャーレム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リオル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カルボウ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
グレンアルマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ソウブレイズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドジョッチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ナマズン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ズピカ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハラバリー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヌメラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヌメイル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヌメルゴン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
グレッグル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドクロッグ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カイデン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タイカイデン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イーブイ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シャワーズ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サンダース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブースター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
エーフィ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ブラッキー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リーフィア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
グレイシア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ノコッチ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ノココッチ(ふたふし),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シキジカ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
メブキジカ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
キリンリキ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リキキリン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ベトベター,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ベトベトン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オラチフ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マフィティフ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
エレズン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ストリンダー(ハイ),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ストリンダー(ロー),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
デデンネ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
パチリス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シルシュルー,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タギングル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
オドシシ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
タマゲタケ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モロバレル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ビリリダマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マルマイン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コイル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
レアコイル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ジバコイル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
メタモン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ガーディ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ウインディ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヒメグマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リングマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ザングース,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハブネーク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
チルット,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
チルタリス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
メェークル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴーゴート,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケンタロス(闘),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケンタロス(闘・水),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ケンタロス(闘・炎),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シシコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カエンジシ♀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カエンジシ♂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スカタンク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゾロア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゾロアーク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ニューラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
マニューラ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ドンカラス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴチム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴチミル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ゴチルゼル,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ポットデス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ミミッキュ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イエッサン♀,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
イエッサン♂,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アノクサ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
アノホラグサ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ノノクラゲ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
リククラゲ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
トロピウス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
カリキリ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ラランテス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ガケガニ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
スコヴィラン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
サボネア,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ノクタス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
シガロコ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ベラカス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
コンパン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
モルフォン,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
クヌギダマ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
フォレトス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ストライク,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ハッサム,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
ヘラクロス,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
